summons_number,issue_date,violation,fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,county,issuing_agency,is_camera_violation,report_date
8869711080,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
8901827797,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
8909438198,2024-04-24,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
8924083480,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
8936194288,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
8936194665,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
8937443740,2024-04-24,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9010684520,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9010684570,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9010684659,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9109313977,2024-04-24,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9109852645,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9114073663,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9115218703,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9116814691,2024-04-24,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9118168670,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9119289042,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9119638395,2024-04-24,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9119692985,2024-04-24,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9119910824,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9119993420,2024-04-24,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9120184979,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,BX,TRAFFIC,False,2026-08-22
9120208480,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9120294050,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9120309790,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9120783899,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9120799720,2024-04-24,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9120993638,2024-04-24,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
